"DateTime","DiRT Rally","DiRT Rally 2.0","WRC 8 FIA World Rally Championship","WRC 9 FIA World Rally Championship","WRC 10 FIA World Rally Championship","Dakar Desert Rally"
"2015-04-01 00:00:00",1997,,,,,
"2015-04-02 00:00:00",,,,,,
"2015-04-03 00:00:00",,,,,,
"2015-04-04 00:00:00",,,,,,
"2015-04-05 00:00:00",,,,,,
"2015-04-06 00:00:00",,,,,,
"2015-04-07 00:00:00",,,,,,
"2015-04-08 00:00:00",,,,,,
"2015-04-09 00:00:00",,,,,,
"2015-04-10 00:00:00",,,,,,
"2015-04-11 00:00:00",,,,,,
"2015-04-12 00:00:00",,,,,,
"2015-04-13 00:00:00",,,,,,
"2015-04-14 00:00:00",,,,,,
"2015-04-15 00:00:00",,,,,,
"2015-04-16 00:00:00",,,,,,
"2015-04-17 00:00:00",,,,,,
"2015-04-18 00:00:00",,,,,,
"2015-04-19 00:00:00",,,,,,
"2015-04-20 00:00:00",,,,,,
"2015-04-21 00:00:00",,,,,,
"2015-04-22 00:00:00",,,,,,
"2015-04-23 00:00:00",,,,,,
"2015-04-24 00:00:00",,,,,,
"2015-04-25 00:00:00",,,,,,
"2015-04-26 00:00:00",,,,,,
"2015-04-27 00:00:00",1215,,,,,
"2015-04-28 00:00:00",1911,,,,,
"2015-04-29 00:00:00",2000,,,,,
"2015-04-30 00:00:00",1901,,,,,
"2015-05-01 00:00:00",1977,,,,,
"2015-05-02 00:00:00",1904,,,,,
"2015-05-03 00:00:00",2054,,,,,
"2015-05-04 00:00:00",1803,,,,,
"2015-05-05 00:00:00",1686,,,,,
"2015-05-06 00:00:00",1512,,,,,
"2015-05-07 00:00:00",1264,,,,,
"2015-05-08 00:00:00",1183,,,,,
"2015-05-09 00:00:00",1214,,,,,
"2015-05-10 00:00:00",1130,,,,,
"2015-05-11 00:00:00",1028,,,,,
"2015-05-12 00:00:00",959,,,,,
"2015-05-13 00:00:00",894,,,,,
"2015-05-14 00:00:00",952,,,,,
"2015-05-15 00:00:00",996,,,,,
"2015-05-16 00:00:00",944,,,,,
"2015-05-17 00:00:00",963,,,,,
"2015-05-18 00:00:00",833,,,,,
"2015-05-19 00:00:00",785,,,,,
"2015-05-20 00:00:00",714,,,,,
"2015-05-21 00:00:00",712,,,,,
"2015-05-22 00:00:00",737,,,,,
"2015-05-23 00:00:00",781,,,,,
"2015-05-24 00:00:00",721,,,,,
"2015-05-25 00:00:00",751,,,,,
"2015-05-26 00:00:00",1338,,,,,
"2015-05-27 00:00:00",1141,,,,,
"2015-05-28 00:00:00",994,,,,,
"2015-05-29 00:00:00",922,,,,,
"2015-05-30 00:00:00",958,,,,,
"2015-05-31 00:00:00",988,,,,,
"2015-06-01 00:00:00",833,,,,,
"2015-06-02 00:00:00",753,,,,,
"2015-06-03 00:00:00",827,,,,,
"2015-06-04 00:00:00",733,,,,,
"2015-06-05 00:00:00",705,,,,,
"2015-06-06 00:00:00",700,,,,,
"2015-06-07 00:00:00",699,,,,,
"2015-06-08 00:00:00",701,,,,,
"2015-06-09 00:00:00",648,,,,,
"2015-06-10 00:00:00",596,,,,,
"2015-06-11 00:00:00",618,,,,,
"2015-06-12 00:00:00",658,,,,,
"2015-06-13 00:00:00",686,,,,,
"2015-06-14 00:00:00",788,,,,,
"2015-06-15 00:00:00",722,,,,,
"2015-06-16 00:00:00",778,,,,,
"2015-06-17 00:00:00",1085,,,,,
"2015-06-18 00:00:00",961,,,,,
"2015-06-19 00:00:00",883,,,,,
"2015-06-20 00:00:00",890,,,,,
"2015-06-21 00:00:00",990,,,,,
"2015-06-22 00:00:00",974,,,,,
"2015-06-23 00:00:00",879,,,,,
"2015-06-24 00:00:00",817,,,,,
"2015-06-25 00:00:00",749,,,,,
"2015-06-26 00:00:00",734,,,,,
"2015-06-27 00:00:00",816,,,,,
"2015-06-28 00:00:00",796,,,,,
"2015-06-29 00:00:00",1499,,,,,
"2015-06-30 00:00:00",1361,,,,,
"2015-07-01 00:00:00",1228,,,,,
"2015-07-02 00:00:00",1183,,,,,
"2015-07-03 00:00:00",1089,,,,,
"2015-07-04 00:00:00",1001,,,,,
"2015-07-05 00:00:00",1139,,,,,
"2015-07-06 00:00:00",1073,,,,,
"2015-07-07 00:00:00",1053,,,,,
"2015-07-08 00:00:00",1071,,,,,
"2015-07-09 00:00:00",1050,,,,,
"2015-07-10 00:00:00",886,,,,,
