DateTime;Players;Average Players;Twitch Viewers;game
13.06.21 00:00;;;9;forza_horizon_5
14.06.21 00:00;;;7670;forza_horizon_5
15.06.21 00:00;;;5;forza_horizon_5
16.06.21 00:00;;;39;forza_horizon_5
17.06.21 00:00;;;9;forza_horizon_5
18.06.21 00:00;;;3;forza_horizon_5
19.06.21 00:00;;;3;forza_horizon_5
20.06.21 00:00;;;1;forza_horizon_5
21.06.21 00:00;;;6;forza_horizon_5
22.06.21 00:00;;;5;forza_horizon_5
23.06.21 00:00;;;5;forza_horizon_5
24.06.21 00:00;;;3;forza_horizon_5
25.06.21 00:00;;;1;forza_horizon_5
26.06.21 00:00;;;4;forza_horizon_5
27.06.21 00:00;;;2;forza_horizon_5
28.06.21 00:00;;;20;forza_horizon_5
29.06.21 00:00;;;3;forza_horizon_5
30.06.21 00:00;;;0;forza_horizon_5
01.07.21 00:00;;;4;forza_horizon_5
02.07.21 00:00;;;3;forza_horizon_5
03.07.21 00:00;;;5;forza_horizon_5
04.07.21 00:00;;;0;forza_horizon_5
05.07.21 00:00;;;7;forza_horizon_5
06.07.21 00:00;;;0;forza_horizon_5
07.07.21 00:00;;;0;forza_horizon_5
08.07.21 00:00;;;2;forza_horizon_5
09.07.21 00:00;;;2;forza_horizon_5
10.07.21 00:00;;;4;forza_horizon_5
11.07.21 00:00;;;2;forza_horizon_5
12.07.21 00:00;;;1714;forza_horizon_5
13.07.21 00:00;;;4;forza_horizon_5
14.07.21 00:00;;;8;forza_horizon_5
15.07.21 00:00;;;11;forza_horizon_5
16.07.21 00:00;;;2;forza_horizon_5
17.07.21 00:00;;;8;forza_horizon_5
18.07.21 00:00;;;0;forza_horizon_5
19.07.21 00:00;;;1;forza_horizon_5
20.07.21 00:00;;;2;forza_horizon_5
21.07.21 00:00;;;0;forza_horizon_5
22.07.21 00:00;;;0;forza_horizon_5
23.07.21 00:00;;;0;forza_horizon_5
24.07.21 00:00;;;1;forza_horizon_5
25.07.21 00:00;;;0;forza_horizon_5
26.07.21 00:00;;;1690;forza_horizon_5
27.07.21 00:00;;;0;forza_horizon_5
28.07.21 00:00;;;0;forza_horizon_5
29.07.21 00:00;;;0;forza_horizon_5
30.07.21 00:00;;;0;forza_horizon_5
31.07.21 00:00;;;1;forza_horizon_5
01.08.21 00:00;;;0;forza_horizon_5
02.08.21 00:00;;;1;forza_horizon_5
03.08.21 00:00;;;0;forza_horizon_5
04.08.21 00:00;;;0;forza_horizon_5
05.08.21 00:00;;;0;forza_horizon_5
06.08.21 00:00;;;1;forza_horizon_5
07.08.21 00:00;;;2;forza_horizon_5
08.08.21 00:00;;;0;forza_horizon_5
09.08.21 00:00;;;2903;forza_horizon_5
10.08.21 00:00;;;0;forza_horizon_5
11.08.21 00:00;;;1;forza_horizon_5
12.08.21 00:00;;;7;forza_horizon_5
13.08.21 00:00;;;10;forza_horizon_5
14.08.21 00:00;;;0;forza_horizon_5
15.08.21 00:00;;;0;forza_horizon_5
16.08.21 00:00;;;2;forza_horizon_5
17.08.21 00:00;;;0;forza_horizon_5
18.08.21 00:00;;;2;forza_horizon_5
19.08.21 00:00;;;2;forza_horizon_5
20.08.21 00:00;;;1;forza_horizon_5
21.08.21 00:00;;;0;forza_horizon_5
22.08.21 00:00;;;0;forza_horizon_5
23.08.21 00:00;;;0;forza_horizon_5
24.08.21 00:00;;;4732;forza_horizon_5
25.08.21 00:00;;;498;forza_horizon_5
26.08.21 00:00;;;7;forza_horizon_5
27.08.21 00:00;;;3;forza_horizon_5
28.08.21 00:00;;;3;forza_horizon_5
29.08.21 00:00;;;1;forza_horizon_5
30.08.21 00:00;;;1;forza_horizon_5
31.08.21 00:00;;;5;forza_horizon_5
01.09.21 00:00;;;0;forza_horizon_5
02.09.21 00:00;;;0;forza_horizon_5
03.09.21 00:00;;;45;forza_horizon_5
04.09.21 00:00;;;1;forza_horizon_5
05.09.21 00:00;;;0;forza_horizon_5
06.09.21 00:00;;;0;forza_horizon_5
07.09.21 00:00;;;2389;forza_horizon_5
08.09.21 00:00;;;0;forza_horizon_5
09.09.21 00:00;;;17;forza_horizon_5
10.09.21 00:00;;;11;forza_horizon_5
11.09.21 00:00;;;0;forza_horizon_5
12.09.21 00:00;;;3;forza_horizon_5
13.09.21 00:00;;;3;forza_horizon_5
14.09.21 00:00;;;3;forza_horizon_5
15.09.21 00:00;;;7;forza_horizon_5
16.09.21 00:00;;;9;forza_horizon_5
17.09.21 00:00;;;3;forza_horizon_5
18.09.21 00:00;;;1;forza_horizon_5
19.09.21 00:00;;;9;forza_horizon_5
20.09.21 00:00;;;1861;forza_horizon_5
21.09.21 00:00;;;7;forza_horizon_5
22.09.21 00:00;;;12;forza_horizon_5
23.09.21 00:00;;;2;forza_horizon_5
24.09.21 00:00;;;0;forza_horizon_5
25.09.21 00:00;;;3;forza_horizon_5
26.09.21 00:00;;;1;forza_horizon_5
27.09.21 00:00;;;0;forza_horizon_5
28.09.21 00:00;;;0;forza_horizon_5
29.09.21 00:00;;;8;forza_horizon_5
30.09.21 00:00;;;13;forza_horizon_5
01.10.21 00:00;;;2;forza_horizon_5
02.10.21 00:00;;;0;forza_horizon_5
03.10.21 00:00;;;10;forza_horizon_5
04.10.21 00:00;;;2202;forza_horizon_5
05.10.21 00:00;;;4;forza_horizon_5
06.10.21 00:00;;;6;forza_horizon_5
07.10.21 00:00;;;0;forza_horizon_5
08.10.21 00:00;;;1;forza_horizon_5
09.10.21 00:00;;;0;forza_horizon_5
10.10.21 00:00;;;4;forza_horizon_5
11.10.21 00:00;;;145;forza_horizon_5
12.10.21 00:00;;;17;forza_horizon_5
13.10.21 00:00;;;14;forza_horizon_5
14.10.21 00:00;;;13;forza_horizon_5
15.10.21 00:00;;;19;forza_horizon_5
16.10.21 00:00;;;6;forza_horizon_5
17.10.21 00:00;;;9;forza_horizon_5
18.10.21 00:00;;;1797;forza_horizon_5
19.10.21 00:00;;;6;forza_horizon_5
20.10.21 00:00;;;7;forza_horizon_5
21.10.21 00:00;;;7;forza_horizon_5
22.10.21 00:00;;;63;forza_horizon_5
23.10.21 00:00;;;3;forza_horizon_5
24.10.21 00:00;;;7;forza_horizon_5
