"DateTime","Players","Average Players","Twitch Viewers"
"2020-03-31 00:00:00",31,,
"2020-04-01 00:00:00",1150,,
"2020-04-02 00:00:00",830,,
"2020-04-03 00:00:00",702,,
"2020-04-04 00:00:00",664,,115
"2020-04-05 00:00:00",605,,27
"2020-04-06 00:00:00",484,,64
"2020-04-07 00:00:00",391,,1014
"2020-04-08 00:00:00",384,,261
"2020-04-09 00:00:00",370,,214
"2020-04-10 00:00:00",594,,392
"2020-04-11 00:00:00",516,,54
"2020-04-12 00:00:00",446,,55
"2020-04-13 00:00:00",413,,43
"2020-04-14 00:00:00",327,,34
"2020-04-15 00:00:00",288,,49
"2020-04-16 00:00:00",294,,20
"2020-04-17 00:00:00",404,,197
"2020-04-18 00:00:00",459,,1204
"2020-04-19 00:00:00",372,,62
"2020-04-20 00:00:00",303,,1422
"2020-04-21 00:00:00",303,,1178
"2020-04-22 00:00:00",226,,9
"2020-04-23 00:00:00",248,,7
"2020-04-24 00:00:00",333,,55
"2020-04-25 00:00:00",415,,63
"2020-04-26 00:00:00",430,,60
"2020-04-27 00:00:00",301,,43
"2020-04-28 00:00:00",268,,4
"2020-04-29 00:00:00",245,,15
"2020-04-30 00:00:00",292,,96
"2020-05-01 00:00:00",354,,90
"2020-05-02 00:00:00",522,,101
"2020-05-03 00:00:00",457,,109
"2020-05-04 00:00:00",331,,355
"2020-05-05 00:00:00",329,,238
"2020-05-06 00:00:00",276,,17
"2020-05-07 00:00:00",276,,20
"2020-05-08 00:00:00",412,,47
"2020-05-09 00:00:00",470,,81
"2020-05-10 00:00:00",477,,21
"2020-05-11 00:00:00",362,,7
"2020-05-12 00:00:00",323,,24
"2020-05-13 00:00:00",286,,34
"2020-05-14 00:00:00",283,,13
"2020-05-15 00:00:00",429,,67
"2020-05-16 00:00:00",461,,59
"2020-05-17 00:00:00",433,,89
"2020-05-18 00:00:00",329,,11
"2020-05-19 00:00:00",307,,17
"2020-05-20 00:00:00",263,,17
"2020-05-21 00:00:00",231,,11
"2020-05-22 00:00:00",341,,38
"2020-05-23 00:00:00",366,,79
"2020-05-24 00:00:00",383,,28
"2020-05-25 00:00:00",287,,18
"2020-05-26 00:00:00",234,,9
"2020-05-27 00:00:00",203,,7
"2020-05-28 00:00:00",219,,33
"2020-05-29 00:00:00",213,,35
"2020-05-30 00:00:00",303,,29
"2020-05-31 00:00:00",321,,165
"2020-06-01 00:00:00",233,,15
"2020-06-02 00:00:00",204,,171
"2020-06-03 00:00:00",201,,7
"2020-06-04 00:00:00",225,,7
"2020-06-05 00:00:00",226,,7
"2020-06-06 00:00:00",349,,12
"2020-06-07 00:00:00",339,,23
"2020-06-08 00:00:00",213,,131
"2020-06-09 00:00:00",220,,35
"2020-06-10 00:00:00",219,,27
"2020-06-11 00:00:00",245,,11
"2020-06-12 00:00:00",214,,3
"2020-06-13 00:00:00",295,,72
"2020-06-14 00:00:00",309,,145
"2020-06-15 00:00:00",226,,26
"2020-06-16 00:00:00",182,,48
"2020-06-17 00:00:00",185,,555
"2020-06-18 00:00:00",164,,5
"2020-06-19 00:00:00",202,,17
"2020-06-20 00:00:00",227,,5
"2020-06-21 00:00:00",204,,74
"2020-06-22 00:00:00",153,,56
"2020-06-23 00:00:00",136,,8
"2020-06-24 00:00:00",146,,11
"2020-06-25 00:00:00",135,,8
"2020-06-26 00:00:00",139,,7
"2020-06-27 00:00:00",195,,18
"2020-06-28 00:00:00",215,,14
"2020-06-29 00:00:00",146,,30
"2020-06-30 00:00:00",410,,148
"2020-07-01 00:00:00",732,,396
"2020-07-02 00:00:00",529,,371
"2020-07-03 00:00:00",576,,46
"2020-07-04 00:00:00",551,,44
"2020-07-05 00:00:00",495,,120
"2020-07-06 00:00:00",377,,289
"2020-07-07 00:00:00",329,,63
"2020-07-08 00:00:00",290,,15
"2020-07-09 00:00:00",286,,21
"2020-07-10 00:00:00",324,,33
"2020-07-11 00:00:00",332,,10
"2020-07-12 00:00:00",291,,74
"2020-07-13 00:00:00",221,,66
"2020-07-14 00:00:00",241,,46
"2020-07-15 00:00:00",203,,52
"2020-07-16 00:00:00",193,,21
"2020-07-17 00:00:00",197,,87
"2020-07-18 00:00:00",222,,26
"2020-07-19 00:00:00",227,,27
"2020-07-20 00:00:00",177,,19
"2020-07-21 00:00:00",183,,5
"2020-07-22 00:00:00",180,,6
"2020-07-23 00:00:00",214,,36
"2020-07-24 00:00:00",231,,17
"2020-07-25 00:00:00",350,,37
"2020-07-26 00:00:00",322,,53
"2020-07-27 00:00:00",241,,22
"2020-07-28 00:00:00",228,,75
"2020-07-29 00:00:00",213,,65
"2020-07-30 00:00:00",198,,8
"2020-07-31 00:00:00",207,,15
"2020-08-01 00:00:00",224,,60
"2020-08-02 00:00:00",236,,18
"2020-08-03 00:00:00",184,,18
"2020-08-04 00:00:00",175,,558
"2020-08-05 00:00:00",178,,274
"2020-08-06 00:00:00",176,,2213
"2020-08-07 00:00:00",184,,39
"2020-08-08 00:00:00",145,,8
"2020-08-09 00:00:00",179,,12
"2020-08-10 00:00:00",136,,23
"2020-08-11 00:00:00",233,,177
"2020-08-12 00:00:00",235,,2507
"2020-08-13 00:00:00",252,,33
"2020-08-14 00:00:00",248,,468
"2020-08-15 00:00:00",261,,1935
"2020-08-16 00:00:00",263,,102
"2020-08-17 00:00:00",164,,142
"2020-08-18 00:00:00",185,,9105
"2020-08-19 00:00:00",176,,8704
"2020-08-20 00:00:00",196,,9663
"2020-08-21 00:00:00",220,,6544
"2020-08-22 00:00:00",323,,1021
"2020-08-23 00:00:00",314,,694
"2020-08-24 00:00:00",243,,18
"2020-08-25 00:00:00",259,,7757
"2020-08-26 00:00:00",248,,7562
"2020-08-27 00:00:00",229,,4620
"2020-08-28 00:00:00",248,,3912
"2020-08-29 00:00:00",324,,58
"2020-08-30 00:00:00",338,,187
"2020-08-31 00:00:00",251,,11
"2020-09-01 00:00:00",265,,48
"2020-09-02 00:00:00",242,,44
"2020-09-03 00:00:00",215,,4902
"2020-09-04 00:00:00",228,,2012
"2020-09-05 00:00:00",250,,164
"2020-09-06 00:00:00",254,,27
"2020-09-07 00:00:00",245,,27
"2020-09-08 00:00:00",193,,416
"2020-09-09 00:00:00",209,,13
"2020-09-10 00:00:00",190,,22
"2020-09-11 00:00:00",197,,48
"2020-09-12 00:00:00",227,,17
"2020-09-13 00:00:00",213,,5
"2020-09-14 00:00:00",189,,136
"2020-09-15 00:00:00",162,,49
"2020-09-16 00:00:00",186,,80
"2020-09-17 00:00:00",166,,14
"2020-09-18 00:00:00",170,,72
"2020-09-19 00:00:00",180,,8
"2020-09-20 00:00:00",199,,11
"2020-09-21 00:00:00",186,,2
"2020-09-22 00:00:00",139,,15
"2020-09-23 00:00:00",169,,18
"2020-09-24 00:00:00",149,,35
"2020-09-25 00:00:00",185,,72
"2020-09-26 00:00:00",183,,34
"2020-09-27 00:00:00",197,,29
"2020-09-28 00:00:00",184,,22
"2020-09-29 00:00:00",167,,17
"2020-09-30 00:00:00",153,,22
"2020-10-01 00:00:00",161,,136
"2020-10-02 00:00:00",153,,153
"2020-10-03 00:00:00",459,,73
"2020-10-04 00:00:00",425,,54
"2020-10-05 00:00:00",300,,16
"2020-10-06 00:00:00",259,,40
"2020-10-07 00:00:00",254,,69
"2020-10-08 00:00:00",227,,82
"2020-10-09 00:00:00",258,,102
"2020-10-10 00:00:00",291,,98
"2020-10-11 00:00:00",293,,32
"2020-10-12 00:00:00",273,,26
"2020-10-13 00:00:00",208,,38
"2020-10-14 00:00:00",228,,47
"2020-10-15 00:00:00",187,,69
"2020-10-16 00:00:00",218,,112
"2020-10-17 00:00:00",264,,14
"2020-10-18 00:00:00",247,,42
"2020-10-19 00:00:00",203,,25
