"DateTime","Players","Average Players","Twitch Viewers"
"2017-07-01 00:00:00",1,,
"2017-07-02 00:00:00",2,,
"2017-07-03 00:00:00",3,,
"2017-07-04 00:00:00",7,,
"2017-07-05 00:00:00",5,,
"2017-07-06 00:00:00",3,,
"2017-07-07 00:00:00",59,,
"2017-07-08 00:00:00",72,,
"2017-07-09 00:00:00",70,,
"2017-07-10 00:00:00",161,,
"2017-07-11 00:00:00",184,,
"2017-07-12 00:00:00",174,,
"2017-07-13 00:00:00",193,,
"2017-07-14 00:00:00",207,,
"2017-07-15 00:00:00",216,,
"2017-07-16 00:00:00",247,,
"2017-07-17 00:00:00",261,,
"2017-07-18 00:00:00",253,,
"2017-07-19 00:00:00",284,,
"2017-07-20 00:00:00",272,,
"2017-07-21 00:00:00",266,,
"2017-07-22 00:00:00",263,,
"2017-07-23 00:00:00",270,,
"2017-07-24 00:00:00",249,,
"2017-07-25 00:00:00",235,,
"2017-07-26 00:00:00",226,,
"2017-07-27 00:00:00",240,,
"2017-07-28 00:00:00",192,,
"2017-07-29 00:00:00",185,,
"2017-07-30 00:00:00",211,,
"2017-07-31 00:00:00",176,,
"2017-08-01 00:00:00",210,,
"2017-08-02 00:00:00",247,,
"2017-08-03 00:00:00",207,,
"2017-08-04 00:00:00",217,,
"2017-08-05 00:00:00",210,,
"2017-08-06 00:00:00",222,,
"2017-08-07 00:00:00",212,,
"2017-08-08 00:00:00",198,,
"2017-08-09 00:00:00",233,,3
"2017-08-10 00:00:00",220,,5
"2017-08-11 00:00:00",190,,2
"2017-08-12 00:00:00",216,,6
"2017-08-13 00:00:00",219,,5
"2017-08-14 00:00:00",212,,5
"2017-08-15 00:00:00",206,,3
"2017-08-16 00:00:00",215,,4
"2017-08-17 00:00:00",184,,4
"2017-08-18 00:00:00",200,,4
"2017-08-19 00:00:00",184,,3
"2017-08-20 00:00:00",179,,10
"2017-08-21 00:00:00",182,,2
"2017-08-22 00:00:00",163,,4
"2017-08-23 00:00:00",162,,2
"2017-08-24 00:00:00",180,,5
"2017-08-25 00:00:00",165,,6
"2017-08-26 00:00:00",182,,3
"2017-08-27 00:00:00",162,,2
"2017-08-28 00:00:00",163,,0
"2017-08-29 00:00:00",172,,8
"2017-08-30 00:00:00",154,,5
"2017-08-31 00:00:00",170,,3
"2017-09-01 00:00:00",138,,13
"2017-09-02 00:00:00",176,,2
"2017-09-03 00:00:00",167,,5
"2017-09-04 00:00:00",138,,3
"2017-09-05 00:00:00",123,,7
"2017-09-06 00:00:00",123,,2
"2017-09-07 00:00:00",142,,0
"2017-09-08 00:00:00",142,,2
"2017-09-09 00:00:00",147,,3
"2017-09-10 00:00:00",139,,3
"2017-09-11 00:00:00",131,,4
"2017-09-12 00:00:00",132,,1
"2017-09-13 00:00:00",126,,6
"2017-09-14 00:00:00",218,,6
"2017-09-15 00:00:00",232,,1
"2017-09-16 00:00:00",222,,2
"2017-09-17 00:00:00",207,,0
"2017-09-18 00:00:00",181,,251
"2017-09-19 00:00:00",171,,1
"2017-09-20 00:00:00",186,,3
"2017-09-21 00:00:00",175,,1
"2017-09-22 00:00:00",185,,51
"2017-09-23 00:00:00",208,,2
"2017-09-24 00:00:00",194,,3
"2017-09-25 00:00:00",168,,2
"2017-09-26 00:00:00",156,,4
"2017-09-27 00:00:00",169,,6
"2017-09-28 00:00:00",148,,5
