"DateTime","Players","Average Players","Twitch Viewers"
"2018-06-11 00:00:00",,,625
"2018-06-12 00:00:00",,,216
"2018-06-13 00:00:00",,,1287
"2018-06-14 00:00:00",,,50
"2018-06-15 00:00:00",,,0
"2018-06-16 00:00:00",,,0
"2018-06-17 00:00:00",,,1
"2018-06-18 00:00:00",,,0
"2018-06-19 00:00:00",,,0
"2018-06-20 00:00:00",,,0
"2018-06-21 00:00:00",,,5
"2018-06-22 00:00:00",,,0
"2018-06-23 00:00:00",,,0
"2018-06-24 00:00:00",,,0
"2018-06-25 00:00:00",,,0
"2018-06-26 00:00:00",,,0
"2018-06-27 00:00:00",,,0
"2018-06-28 00:00:00",,,0
"2018-06-29 00:00:00",,,0
"2018-06-30 00:00:00",,,0
"2018-07-01 00:00:00",,,0
"2018-07-02 00:00:00",,,7
"2018-07-03 00:00:00",,,4
"2018-07-04 00:00:00",,,7
"2018-07-05 00:00:00",,,6
"2018-07-06 00:00:00",,,0
"2018-07-07 00:00:00",,,0
"2018-07-08 00:00:00",,,0
"2018-07-09 00:00:00",,,0
"2018-07-10 00:00:00",,,832
"2018-07-11 00:00:00",,,0
"2018-07-12 00:00:00",,,0
"2018-07-13 00:00:00",,,0
"2018-07-14 00:00:00",,,0
"2018-07-15 00:00:00",,,0
"2018-07-16 00:00:00",,,0
"2018-07-17 00:00:00",,,778
"2018-07-18 00:00:00",,,1
"2018-07-19 00:00:00",,,0
"2018-07-20 00:00:00",,,0
"2018-07-21 00:00:00",,,0
"2018-07-22 00:00:00",,,0
"2018-07-23 00:00:00",,,0
"2018-07-24 00:00:00",,,573
"2018-07-25 00:00:00",,,1
"2018-07-26 00:00:00",,,3
"2018-07-27 00:00:00",,,0
"2018-07-28 00:00:00",,,9
"2018-07-29 00:00:00",,,1
"2018-07-30 00:00:00",,,1
"2018-07-31 00:00:00",,,555
"2018-08-01 00:00:00",,,2
"2018-08-02 00:00:00",,,2
"2018-08-03 00:00:00",,,10
"2018-08-04 00:00:00",,,0
